path,role,action,reason,size,ext,module,imported_by
Archive/patch_notes_and_root_duplicates_20260618/README.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,386,.md,,
Archive/patch_notes_and_root_duplicates_20260618/README_FANTRAX_PLAYER_STATS_PATCH.txt,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,618,.txt,,
Archive/patch_notes_and_root_duplicates_20260618/README_PLAYER_IDENTITY_PATCH.txt,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,468,.txt,,
Archive/patch_notes_and_root_duplicates_20260618/README_PLAYER_PRODUCTION_PATCH.txt,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,357,.txt,,
Archive/patch_notes_and_root_duplicates_20260618/README_PROVIDER_COMPLETION_PATCH.txt,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,730,.txt,,
Archive/patch_notes_and_root_duplicates_20260618/knowledge_readiness.py,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,13430,.py,Archive.patch_notes_and_root_duplicates_20260618.knowledge_readiness,0
Archive/patch_notes_and_root_duplicates_20260618/valuation_engine.py,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,26559,.py,Archive.patch_notes_and_root_duplicates_20260618.valuation_engine,0
Archive/release_history_3g3/CHANGE_MANIFEST_v0.4.3.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,307,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop1.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,401,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop2.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,402,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,293,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3a.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,233,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3c.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,194,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3d.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,318,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3e1.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,480,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3e2.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,331,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3e3.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,329,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3e4_1.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,2742,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3e4_2.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1339,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f0.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1370,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f1.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1813,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f1a.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1518,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f2.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1745,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f2a.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,682,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f3.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1761,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f3a.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1291,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f4.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1219,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f5.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1314,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f6.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1515,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f6a.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,612,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3f7.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1200,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3g0.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,2247,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3g1.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1121,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3g2.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,965,.md,,
Archive/release_history_3g3/CHANGE_MANIFEST_v0.5.0_drop3g3.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1472,.md,,
Archive/release_history_3g3/MANIFEST_v0.4.2.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,490,.md,,
Archive/release_history_3g3/RELEASE_MANIFEST_v0.3.0.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1355,.md,,
Archive/release_history_3g3/RELEASE_MANIFEST_v0.3.1.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,549,.md,,
Archive/release_history_3g3/RELEASE_MANIFEST_v0.4.0.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,480,.md,,
Archive/release_history_3g3/RELEASE_MANIFEST_v0.4.1.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,216,.md,,
Archive/release_history_3g3/RELEASE_NOTES_v0.2.2.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,2188,.md,,
Archive/release_history_3g3/RELEASE_NOTES_v0.3.0.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,2206,.md,,
Archive/release_history_3g3/RELEASE_NOTES_v0.3.1.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,2360,.md,,
Archive/release_history_3g3/RELEASE_NOTES_v0.4.0.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1968,.md,,
Archive/release_history_3g3/RELEASE_NOTES_v0.4.1.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1029,.md,,
Archive/release_history_3g3/RELEASE_NOTES_v0.4.2.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1767,.md,,
Archive/release_history_3g3/RELEASE_NOTES_v0.5.0_drop1.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,850,.md,,
Archive/release_history_3g3/RELEASE_NOTES_v0.5.0_drop2.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1294,.md,,
Archive/release_history_3g3/RELEASE_NOTES_v0.5.0_drop3.md,RUNTIME_OR_ARTIFACT,ARCHIVE_ALREADY,Already under Archive; exclude from active engineering surface.,1431,.md,,
